Announced or Revised,Agency,Title,Component,Report Number(s),Expected Issue Date (FY),Website_Link,Summary,Office of Evaluation and Inspections
October 2017,Centers for Disease Control and Prevention,World Trade Center Health Program: Review of Administrative Costs - Mandatory Review,Office of Audit Services,A-02-16-02012;  W-00-14-59040,2019,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000011.asp,"Pursuant to the legislative requirements, medical services are provided to eligible responders and survivors with health conditions related to the September 11, 2001, terrorist attacks on the World Trade Center through contracted facilities known as Clinical Centers of Excellence.  The World Trade Center Health Program (WTCHP) was established in January 2011 and is administered by CDC (James Zadroga 9/11 Health and Compensation Act of 2010 and Public Health Service Act § 3301(d)).  Prior Federal audits found that CDC did not reliably estimate costs for monitoring and treating program beneficiaries.  We will review WTCHP expenditures to assess whether internal controls have been established in the WTCHP in accordance with OMB Circular A-123, Management's Responsibility for Internal Control.  As part of our review, we will determine whether the internal controls are adequate to prevent excessive administrative payments in accordance with Federal contracting requirements.",
Nov-16,Centers for Disease Control and Prevention,Oversight of Security of the Strategic National Stockpiles of Pharmaceuticals,Office of Audit Services,W-00-16-58310,2017,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000013.asp,"The Strategic National Stockpile program, for which CDC and the Department of Homeland Security (DHS) share management responsibility, is designed to supplement and restock State and local public health agency pharmaceutical supplies in the event of a biological or chemical incident in the United States or its territories.  The stockpiles are stored at strategic locations for the most rapid distribution possible.  CDC is responsible for ensuring that the materials in these facilities are adequately protected and stored.  We will review CDC's efforts to ensure that pharmaceutical stockpiles are secure from theft, tampering, or other loss.  We will use guidelines established in DHS's Physical Security Manual to assess security risks at selected stockpiles.",
Completed (partial),Centers for Disease Control and Prevention,Grantee's Use of President's Emergency Plan for AIDS Relief Funds,Office of Audit Services,A-04-18-01010;  A-04-18-01009;  A-04-18-01008;  A-04-17-01002;  A-04-16-04051;  A-04-17-01003; W-00-18-57300,2021,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000014.asp,"President's Emergency Plan for AIDS Relief (PEPFAR) funds support international programs for acquired immunodeficiency syndrome (AIDS) prevention, treatment, and care.  CDC received PEPFAR funds from the annual HHS appropriation and the Foreign Operations appropriation.  In previous audits of foreign PEPFAR grantees, we identified unallowable expenditures and internal control weaknesses.  We will review (1) whether CDC effectively accounted for and monitored PEPFAR funds and (2) whether selected foreign grantees managed PEPFAR funds received under the PEPFAR program in accordance with award requirements. In addition, we plan to prepare a report to summarize the findings for all foreign grantee audits and recommendations for CDC to take corrective action.",
Nov-16,Centers for Medicare & Medicaid Services,Medicare Incentive Payments for Adopting Electronic Health Records,Office of Audit Services,W-00-14-31352,2017,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000015.asp,"Medicare incentive payments are authorized over a 5-year period to physicians and hospitals that demonstrate meaningful use of certified EHR technology (Recovery Act, §§ 4101 and 4102).  Incentive payments were scheduled to begin in 2011 and continue through 2016, with payment reductions to health care professionals who fail to become meaningful users of EHRs beginning in 2015 (§ 4101(b)).  As of July 2015, Medicare EHR incentive payments totaled more than $20 billion. We will review Medicare incentive payments to eligible health care professionals and hospitals for adopting EHRs and Centers for Medicare &amp; Medicaid Services safeguards to prevent erroneous incentive payments.  We will review Medicare incentive payment data to identify payments to providers that should not have received incentive payments (e.g., those not meeting selected meaningful-use criteria). We will also assess Centers for Medicare &amp; Medicaid Services plans to oversee incentive payments for the duration of the program and corrective actions taken regarding erroneous incentive payments.",
Completed,Centers for Medicare & Medicaid Services,Security of Certified Electronic Health Record Technology Under Meaningful Use,Office of Audit Services,A-18-15-30210;  A-04-15-05064; A-04-15-05063;  W-00-15-42002,2018,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000016.asp,"A core meaningful-use objective for eligible providers and hospitals is to protect electronic health information created or maintained by certified EHR technology by implementing appropriate technical capabilities.  To meet and measure this objective, eligible hospitals must conduct a security risk analysis of certified EHR technology as defined in Federal regulations and use the capabilities and standards of certified EHR technology (45 CFR § 164.308(a)(1) and 45 CFR §§ 170.314(d)(1) through (d)(9)).  We will perform audits of various covered entities receiving EHR incentive payments from Centers for Medicare &amp; Medicaid Services to determine whether they adequately protect electronic health information created or maintained by certified EHR technology.",
Removed,Centers for Medicare & Medicaid Services,Physician-Administered Drugs for Dual Eligible Enrollees,Office of Audit Services,W-00-16-31512,Not Applicable,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000017.asp,"The term ""dual eligible"" is used to describe individuals who are enrolled in both Medicare and Medicaid.  States are required to collect rebates on physician-administered drugs. To collect these rebates, State agencies must submit to the manufacturers the National Drug Codes for all single-source drugs and for the top 20 multiple-source physician-administered drugs. For dual-eligible enrollees, covered Medicare Part B prescription drugs received in a hospital outpatient setting (which include physician-administered drugs) require a copayment, which Medicaid is generally responsible for paying. If a State agency paid any portion of a drug claim to the provider, the State agency must then invoice the eligible drugs for rebate and the manufacturer would thus be liable for payment of the rebate.  We will determine whether Medicare requirements for processing physician-administered drug claims impact State Medicaid agencies' ability to correctly invoice Medicaid drug rebates for dual-eligible enrollees.",
Removed,Centers for Medicare & Medicaid Services,States' Actions Based on Medicaid Drug Utilization Reviews,Office of Evaluation and Inspections,OEI-05-13-00550,Not Applicable,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000019.asp,"States are required to establish drug utilization review (DUR) programs to receive the Federal share of Medicaid payments (42 CFR §456.703). DUR programs must involve ongoing and periodic retrospective examination of claims data to identify patterns of fraud, abuse, gross overuse, or medically unnecessary care. (42 CFR §456.709). We will review the actions that States have taken on the basis of information generated by their DUR programs related to inappropriate dispensing and potential abuse of prescription drugs, including opiates.",
Completed (partial),Centers for Medicare & Medicaid Services,States' Collection of Rebates on Physician-Administered Drugs,Office of Audit Services,A-02-16-01012;  A-06-16-00018;  A-05-16-00013;  A-05-16-00014;  W-00-16-31400;  various reviews,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000020.asp,"States are required to collect rebates on covered outpatient drugs administered by physicians in order to be eligible for Federal matching funds (SSA § 1927(a)).  Previous OIG work identified concerns with States' collection and submission of data to Centers for Medicare &amp; Medicaid Services, including national drug codes that identify drug manufacturers, thus allowing States to invoice the manufacturers responsible for paying rebates (Deficit Reduction Act of 2005).  We will determine whether States have established adequate accountability and internal controls for collecting Medicaid rebates on physician-administered drugs.  We will assess States' processes for collecting national drug code information on claims for physician-administered drugs and subsequent processes for billing and collecting rebates.",
Completed (partial),Centers for Medicare & Medicaid Services,States' Collection of Rebates for Drugs Dispensed to Medicaid MCO Enrollees,Office of Audit Services,A-06-16-00004;  A-07-16-06065;  A-09-16-02027;  A-09-16-02028;  A-09-16-02029;  A-02-16-01011;  A-09-16-02031;  A-06-16-00001;  A-07-17-06075;  W-00-17-31483;  W-00-16-31483; various reviews,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000021.asp,"Medicaid MCOs are required to report enrollees' drug utilization to the State for the purpose of collecting rebates from manufacturers. Section 2501(c) of the Patient Protection and Affordable Care Act expanded the rebate requirement to include drugs dispensed to MCO enrollees. We will determine whether States are collecting prescription drug rebates from pharmaceutical manufacturers for Medicaid MCOs. Drugs dispensed by Medicaid MCOs were excluded from this requirement until March 23, 2010.
",
Removed,Centers for Medicare & Medicaid Services,Manufacturer Rebates - Federal Share of Rebates,Office of Audit Services,W-00-17-31450; various reviews,Not Applicable,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000022.asp,Section 2501 of the Patient Protection and Affordable Care Act increased the Medicaid drug rebates (both single-source and multiple-source drugs) for Medicaid outpatient drugs and required that those additional rebate amounts attributable to the increase be given solely to the Federal Government.  We will review States' reporting of the Federal share of Medicaid rebate collections to determine whether States are correctly identifying and reporting the increases in rebate collections.,
November 2016,Centers for Medicare & Medicaid Services,Treatment of Authorized Generic Drugs,Office of Audit Services,W-00-17-31499,2019,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000023.asp,"An authorized generic drug is one that the manufacturer holding the title to the original new drug application permits another manufacturer to sell under a different national drug code. Provisions in 42 CFR § 447.506(b) provide that the manufacturer holding title to the original new drug application of the authorized generic drug must include the sales of this drug in its average manufacturer price (AMP) only when such drugs are being sold by the manufacturer directly to a wholesaler. Manufacturers that also include the sales of an authorized generic to a secondary manufacturer could lower the AMP and, consequently, a lower rebate would be paid to the State. We will review drug manufacturers' treatment of sales of authorized generics in their calculation of AMP for the Medicaid drug rebate program. We will determine whether manufacturers included sales of authorized generics to secondary manufacturers in their AMP calculations.",
Completed,Centers for Medicare & Medicaid Services,Medicaid Payments for Multiuse Vials of Herceptin,Office of Audit Services,A-05-15-00032;  A-02-15-01013;  A-06-15-00023;  A-05-15-00035;  A-06-15-00037;  W-00-15-31476,2017,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000024.asp,"Previous OIG audits of Herceptin, a drug used to treat breast cancer, have shown provider noncompliance with Medicare billing requirements.  Similar issues may occur in Medicaid. We will review States' claims for the Federal share of Medicaid payments for Herceptin to determine whether providers properly billed the States for the drug.  We will determine whether providers' claims to States were complete and accurate and were billed in accordance with the regulations of the selected States.",
Completed,Centers for Medicare & Medicaid Services,Oversight and Effectiveness of Medicaid Waivers,Office of Audit Services,A-03-17-00200;  A-02-17-01005;  A-04-17-04058; A-05-19-00022; W-00-17-31513,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000025.asp,"More States are using waivers to alter their Medicaid program in significant ways. Oversight of State waiver programs present challenges to ensure that payments made under the waivers are consistent with regards to efficiency, economy, and quality of care and do not inflate Federal costs. We will determine the extent to which selected States made use of Medicaid waivers and if costs associated with the waivers are efficient, economic, and do not inflate Federal costs. We will also look at Centers for Medicare &amp; Medicaid Services oversight of State Medicaid waivers.",
Completed,Centers for Medicare & Medicaid Services,Adult Day Health Care Services,Office of Audit Services,A-03-16-00201;  W-00-16-31386;various reviews,2018,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000026.asp,"Adult day health care programs provide health, therapeutic, and social services and activities to program enrollees.  Beneficiaries enrolled must meet eligibility requirements, and services must be furnished in accordance with a plan of care.  Medicaid allows payments for adult day health care through various authorities, including home- and community-based services waivers (SSA § 1915 and 42 CFR § 440.180). Prior OIG work shows that these payments do not always comply with Federal and State requirements. We will review Medicaid payments by States for adult day health care services to determine whether providers complied with Federal and State requirements.",
Completed (partial),Centers for Medicare & Medicaid Services,Transportation Services - Compliance with Federal and State Requirements,Office of Audit Services,A-05-16-00021;  A-07-16-03209;  W-00-16-31121;  various reviews,2022,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000028.asp,"Federal regulations require States to ensure necessary transportation for Medicaid beneficiaries to and from providers (42 CFR § 431.53).  Each State may have different Medicaid coverage criteria, reimbursement rates, rules governing covered services, and beneficiary eligibility for services.  We will determine the appropriateness of Medicaid payments by States to providers for transportation services.",
Completed,Centers for Medicare & Medicaid Services,Health-Care-Acquired Conditions - Prohibition on Federal Reimbursements,Office of Audit Services,A-02-16-01022;  A-06-16-08004;  A-07-16-03216;  A-06-16-02003;  A-03-16-00205;  A-06-16-01001;  W-00-16-31452  various reviews,2020,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000029.asp,"As of July 1, 2011, Federal payments to States are prohibited for any amounts expended for providing medical assistance for health-care-acquired conditions (SSA §1903 and Patient Protection and Affordable Care Act §2702).  Federal regulations prohibit Medicaid payments by States for services related to health-care-acquired conditions and for provider preventable conditions as defined by Centers for Medicare &amp; Medicaid Services or included in the Medicaid State Plan  (42 CFR §447.26).  We will determine whether selected States made Medicaid payments for hospital care associated with health-care-acquired conditions and provider preventable conditions and quantify the amount of Medicaid payments for such conditions.",
Completed,Centers for Medicare & Medicaid Services,Dental Services for Children - Inappropriate Billing,Office of Audit Services,A-02-16-01020;  W-00-17-31135,2020,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000030.asp,"Dental services are required for most Medicaid-eligible individuals under age 21 as a component of the Early and Periodic Screening, Diagnostic, and Treatment services benefit (SSA §§ 1905(a)(4)(B) and 1905(r)).  Federal regulations define ""dental services"" as diagnostic, preventative, or corrective procedures provided by or under the supervision of a dentist (42 CFR §§ 440.100).  Services include the treatment of teeth and the associated structure of the oral cavity and disease, injury, or impairment that may affect the oral cavity or general health of the recipient.  Previous OIG work indicated that some dental providers may be inappropriately billing for services.  We will review Medicaid payments by States for dental services to determine whether States have properly claimed Federal reimbursement.",
Completed,Centers for Medicare & Medicaid Services,Community First Choice State Plan Option Under the Affordable Care Act,Office of Audit Services,A-06-17-08002;  A-02-17-01015; W-00-17-31495,2020,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000031.asp,"Section 2401 of the Patient Protection and Affordable Care Act added section 1915(k) to the SSA, a new Medicaid State plan option that allows States to provide statewide home and community-based attendant services and support to individuals who would otherwise require an institutional level of care. States taking up the option will receive a 6-percent increase in their FMAP for Community First Choice (CFC) services.  To be eligible for CFC services, beneficiaries must otherwise require an institutional level of care and meet financial eligibility criteria.  We will review CFC payments to determine whether the payments are proper and allowable.",
Nov-16,Centers for Medicare & Medicaid Services,Payments to States Under the Balancing Incentive Program,Office of Audit Services,W-00-17-31482; various reviews,2018,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000032.asp,"Under the Balancing Incentive Program (BIP), eligible States can receive either a 2-percent or 5-percent increase in their FMAP for eligible Medicaid long-term services and support (LTSS) expenditures.  Funding to States under the BIP cannot exceed $3 billion over the programs 4-year period (i.e., October 1, 2011, through September 30, 2015).  To receive payments, participating States agree to make structural changes to increase access to noninstitutional LTSS.  The States must also use the additional Federal funding for the purposes of providing new or expanded offerings of noninstitutional LTSS.  We will review expenditures that States claimed under the BIP to ensure that they were for eligible Medicaid LTSS and determine whether the States used the additional enhanced Federal match in accordance with § 10202 of the ACA.",
Completed,Centers for Medicare & Medicaid Services,State Agency Verification of Deficiency Corrections,Office of Audit Services,A-04-17-02500;  A-04-17-08052;  A-07-17-03218;  A-07-17-03224;  W-00-17-31502;  various reviews,2019,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000033.asp,"Federal regulations require nursing homes to submit correction plans to the State survey agency or Centers for Medicare &amp; Medicaid Services for deficiencies identified during surveys (42 CFR § 488.402(d)).  Centers for Medicare &amp; Medicaid Services requires State survey agencies to verify the correction of identified deficiencies through on-site reviews or by obtaining other evidence of correction (State Operations Manual, Pub.  No. 100-07, § 7300.3).  A previous OIG review found that one State survey agency did not always verify that nursing homes corrected deficiencies identified during surveys in accordance with Federal requirements.  We will determine whether State survey agencies verified correction plans for deficiencies identified during nursing home recertification surveys.",
Completed,Centers for Medicare & Medicaid Services,Medicaid Beneficiary Transfers from Group Homes and Nursing Facilities to Hospital  Emergency Rooms,Office of Audit Services,A-01-16-00001;  W-00-16-31040,2018,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000034.asp,"High occurrences of emergency transfers could indicate poor quality of care.  Previous OIG work examined transfers to hospital emergency departments, raising concerns about the quality of care provided in some nursing facilities.  We will review the rate of and reasons for transfer from group homes or nursing facilities to hospital emergency departments.",
Completed,Centers for Medicare & Medicaid Services,State Use of Provider Taxes to Generate Federal Funding,Office of Audit Services,A-03-16-00202;  W-00-17-31455; various reviews,2020,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000036.asp,Many States finance a portion of their Medicaid spending by imposing taxes on health care providers.  Federal regulations define and set forth the standard for permissible health-care-related taxes (42 CFR §§ 433.55 and 433.68).  Previous OIG work raised concerns about States' use of health-care-related taxes. We will review State health-care-related taxes imposed on various Medicaid providers to determine whether the taxes comply with applicable Federal requirements.  Our work will focus on the mechanism States use to raise revenue through provider taxes and determine the amount of Federal funding generated.,
Nov-16,Centers for Medicare & Medicaid Services,State Compliance with Federal Certified Public Expenditures Regulations,Office of Audit Services,W-00-17-31110; various reviews,2019,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000037.asp,"Public entities (e.g., public hospitals) may certify that they spent funds on Medicaid items or services that are eligible for Federal matching funds. These funds are referred to as certified public expenditures (CPEs) and may be claimed as the State's share of Medicaid expenditures as long as the CPEs comply with Federal regulations and are being used for the required purposes (42 CFR § 433.51 and 45 CFR § 95.13.)  We will determine whether States comply with Federal regulations for claiming CPEs, which are normally generated by local governments as part of their contribution to the coverage of Medicaid services.",
Completed,Centers for Medicare & Medicaid Services,State Cost Allocations That Deviate from Acceptable Practices,Office of Audit Services,A-02-17-01006;  A-07-18-04107; A-04-17-00113; W-00-17-31467; various reviews,2021,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000038.asp,"Previous OIG reviews of school- and community-based administrative claims found significant unallowable payments that were based on random moment sampling systems.  Such systems must be documented to support the propriety of the costs assigned to Federal awards (OMB Circular A87, Cost Principles for State, Local, and Indian Tribal Governments, Attachment A, § C.1.j).  A State must claim Federal financial participation for costs associated with a program only in accordance with its approved cost allocation plan.  (45 CFR § 95.517(a).)  We will review public assistance cost allocation plans and processes for selected States to determine whether the States claimed Medicaid costs that were supported and allocated on the basis of random moment sampling systems that deviated from acceptable statistical sampling practices.",
Completed,Centers for Medicare & Medicaid Services,Enhanced Federal Medical Assistance Percentage,Office of Audit Services,A-06-17-09003; A-07-17-02807; W-00-17-31480;  various reviews,2021,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000039.asp,"The ACA, § 2001, authorized the use of an FMAP of 100 percent for individuals who are newly eligible because of Medicaid expansion.  In addition, the ACA, § 1202, required that Medicaid payments to primary care providers be at least those of the Medicare rates in effect for CYs 2013 and 2014.  States can claim 100 percent FMAP for the difference between the Medicare rate and the States' Medicaid rate.  We will review States' Medicaid claims to determine whether the States correctly applied enhanced FMAP payment provisions of the ACA.",
Nov-16,Centers for Medicare & Medicaid Services,Medicaid Payment Suspensions for Credible Allegations of Fraud,Office of Audit Services and Office of Evaluation and Inspections,OEI-09-14-00020,2017,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000040.asp,"Federal financial participation in Medicaid is not available for items or services furnished by an individual or entity when there is a credible allegation of fraud, unless good cause exists not to suspend payment (SSA  1903(i)(2), as amended by the ACA  6402(h)(2)).  When a State Medicaid agency determines that a credible allegation of fraud exists, the agency must suspend all or part of the Medicaid payments to the provider, while law enforcement investigates and potentially prosecutes the provider, unless good cause exists not to suspend payment (42 CFR   455.23(a)).  The State Medicaid agency must also refer the credible allegation of fraud for investigation to the States MFCU or to other appropriate law enforcement agencies in States with no certified MFCUs (42 CFR  455.23(d)).   We will review States use of payment suspensions as a program integrity tool.",
Completed,Centers for Medicare & Medicaid Services,State Medicaid Fraud Control Units FY 2017 Annual Report,Office of Evaluation and Inspections,OEI-09-18-00180,2018,https://oig.hhs.gov/reports-and-publications/workplan/summary/wp-summary-0000041.asp,"OIG provides guidance to the Medicaid Fraud Control Units (MFCUs), assesses compliance with Federal regulations and policy, and evaluates adherence to published performance standards. This annual report will analyze the statistical information that was reported by the MFCUs for FY 2016, describing in the aggregate the outcomes of MFCU criminal and civil cases.  This report will also identify trends in MFCU case results and will report on significant developments for the MFCUs over the course of the year.",
