,Report Number(s),Workplan_Title,Workplan_Summary
198,A-09-14-02040,A Northern California Physical Therapy Practice Claimed Unallowable Medicare Part B Reimbursement for Some Outpatient Therapy Services Audit (A-09-14-02040) 11-01-2016,"Claims for outpatient physical therapy services provided by a physical therapy practice (the practice), located in Yuba City, California, did not comply with Medicare requirements.  Specifically, of the 100 beneficiary days in our random sample, the practice properly claimed Medicare reimbursement for 36 beneficiary days.  However, the practice improperly claimed Medicare reimbursement for the remaining 64 beneficiary days, consisting of 62 beneficiary days that had therapy services that were not medically necessary and 2 beneficiary days that did not meet Medicare documentation requirements.  On the basis of our sample results, we estimated that the practice received at least $583,000 in unallowable Medicare reimbursement for outpatient physical therapy services that did not comply with Medicare requirements., Filed under: <a href=""/reports-and-publications/oas/cms.asp"">Centers for Medicare and Medicaid Services</a>"
199,A-02-15-01008,"Integrated Health Administrative Services, Inc., Improperly Claimed Medicare Part B Reimbursement for Portable X-ray Services Audit (A-02-15-01008) 09-20-2017","Integrated Health Administrative Services, Inc. (Integrated), (located in Mamaroneck, New York) complied with certain Medicare Part B requirements for 91 of the 112 claims that we sampled. However, the remaining 21 claims did not comply with
                certain Medicare requirements. On the basis of our sample results, we estimated that Integrated improperly claimed at least $914,109 in Medicare reimbursement for unallowable portable x-ray services., Filed under: <a href=""/reports-and-publications/oas/cms.asp"">Centers for Medicare and Medicaid Services</a>"
200,A-04-17-07069,Medicare Payments to Providers for Polysomnography Services Did Not Always Meet Medicare Billing Requirements (A-01-17-00513) 06-07-2019,"From January 1, 2014, through December 31, 2015, Medicare administrative contractors (MACs) nation-wide paid freestanding facilities, facilities affiliated with hospitals, and physicians (collectively referred to as ""providers"") approximately $800 million for selected polysomnography (a type of sleep study to diagnose and evaluate sleep disorders) services. Previous OIG reviews for polysomnography services found that Medicare paid for services that did not meet Medicare requirements.  These reviews identified payments for services with inappropriate diagnosis codes, without the required supporting documentation, and to providers that exhibited patterns of questionable billing., Our objective was to determine whether Medicare made payments to providers for polysomnography services that met Medicare billing requirements., Our audit covered $755 million in Medicare payments to providers for 974,901 beneficiaries with 2 million corresponding lines of polysomnography service on Medicare claims billed using Current Procedural Terminology codes 95810 and 95811.  These lines had dates of service in calendar years 2014 and 2015.  We reviewed a stratified random sample of 200 beneficiaries with 426 corresponding lines of service with payments totaling $148,198 during our audit period., Some payments that Medicare made to providers for polysomnography services did not meet Medicare billing requirements.  Of the 200 beneficiaries that we randomly selected, Medicare made payments to providers for polysomnography services that met Medicare billing requirements for 117 beneficiaries with 276 corresponding lines of service.  However, Medicare made payments for the remaining 83 beneficiaries with 150 corresponding lines of service that did not meet Medicare requirements, resulting in net overpayments of $56,668., On the basis of our sample results, we estimated that Medicare made overpayments of $269 million for polysomnography services during the audit period. , These errors occurred because the Centers for Medicare &amp; Medicaid Services (CMS) oversight of polysomnography services was insufficient to ensure that providers complied with Medicare requirements or prevent payment of claims that did not meet those requirements.  Without periodic reviews of claims for polysomnography services, MACs were unable to determine whether providers had received payments for claims that did not meet Medicare requirements or to take remedial action., We recommend that CMS instruct the MACs to recover the portion of the $56,668 in identified net overpayments that are within the 4-year reopening period.  We also recommend that CMS work with the MACs to conduct data analysis allowing for targeted reviews of claims for polysomnography services and educate providers on properly billing for polysomnography services, which could have reduced or eliminated an estimated $269 million in overpayments over the 2-year audit period.  The audit report includes all of the recommendations., CMS concurred with our recommendations and described actions that it planned to take to address them., Filed under: <a href=""/reports-and-publications/oas/cms.asp"">Centers for Medicare and Medicaid Services</a>"
201,A-04-20-07088,University of Michigan Health System: Audit of Medicare Payments for Polysomnography Services A-04-20-07088 06-03-2021,"Medicare administrative contractors nationwide paid approximately $885 million for selected polysomnography (a type of sleep study) services provided to Medicare beneficiaries during January 1, 2017, through December 31, 2018 (audit period).  Previous OIG audits of polysomnography services found that Medicare paid for some services that did not meet Medicare requirements.  These audits identified payments for services with inappropriate diagnosis codes, without the required supporting documentation, and to providers that exhibited questionable billing patterns.  After analyzing Medicare claim data, we selected for audit University of Michigan Health System (University of Michigan), a hospital provider located in Ann Arbor, Michigan., Our objective was to determine whether Medicare claims that University of Michigan submitted for polysomnography services complied with Medicare requirements., Our audit covered $1.9 million in Medicare payments to University of Michigan for 1,931 beneficiaries associated with 2,826 lines of polysomnography service billed using Current Procedural Terminology codes 95810 and 95811.  We reviewed a stratified random sample of 100 beneficiaries who received polysomnography services (166 lines of service) with payments totaling $112,147 during our audit period., University of Michigan submitted Medicare claims for some polysomnography services that did not comply with Medicare billing requirements.  Of the 100 randomly selected beneficiaries in our sample, University of Michigan submitted Medicare claims for polysomnography services that complied with Medicare billing requirements for 96 beneficiaries associated with 161 lines of service.  However, University of Michigan submitted Medicare claims for the remaining four beneficiaries associated with five lines of service that did not comply with Medicare requirements, resulting in overpayments of $3,127., On the basis of our sample results, we estimated that University of Michigan received overpayments of at least $12,520 for polysomnography services during our audit period., The errors occurred because University of Michigan's policies and procedures did not address the processing of Medicare claims for polysomnography services to ensure that services billed to Medicare were adequately documented and coded correctly. , We recommend that University of Michigan (1) refund to the Medicare program the estimated $12,520 overpayment for claims that it incorrectly billed that are within the 4-year reopening period; (2) based on the results of this audit, exercise reasonable diligence to identify, report, and return any overpayments in accordance with the 60-day rule; and (3) implement policies and procedures to ensure that Medicare claims for polysomnography services comply with Medicare requirements., In written comments on our draft report, University of Michigan disagreed with our findings associated with four lines of service billed with incomplete medical record documentation.  Additionally, University of Michigan asserted that our findings do not support extrapolation.  , We disagree with University of Michigan's assertion that the medical record documentation supported the need for testing.  For three beneficiaries (four lines of service), the face-to-face evaluation from the treating physician did not indicate that the physical examination was focused on sleep related disorders nor did it recommend sleep testing as part of the treatment plan for the patient.  The physician's progress notes in the face-to-face evaluations did not attribute the patient's symptoms or complaints to sleep-related disorders. , Therefore, we maintain that our findings and recommendations are valid., Filed under: <a href=""/reports-and-publications/oas/cms.asp"">Centers for Medicare and Medicaid Services</a>"
202,A-06-15-00018,CMS and Its Claims Processing Contractors Issued Conflicting Guidance on the Proper Use of the KX Modifier for Part B Immunosuppressive Drug Claims Audit (A-06-15-00018) 08-25-2017,"Medicare Part B paid for some immunosuppressive drugs billed with the KX modifier that were not eligible for Part B payment.  Of the 75 claims in our random sample, pharmacies had documentation to support the KX modifier for 65 claims but did not have support for the remaining 10. , The Centers for Medicare &amp; Medicaid Services' (CMS) intention for the KX modifier was to signify an attestation by the pharmacy that it had documentation proving that a beneficiary's organ transplant occurred when the beneficiary was eligible for Medicare coverage.  However, guidance in the Medicare Claims Processing Manual (the Manual) is not clearly written and additional guidance issued by claims processing contractors conflicted with the guidelines in the Manual.  , Pharmacies improperly received $3,973 in Part B reimbursement for the immunosuppressive drugs on the 10 claims.  On the basis of our sample results, we estimated that Part B paid $4.6 million in reimbursement for immunosuppressive drugs billed with the KX modifier that did not comply with Medicare requirements. , We recommended that CMS (1) clarify language in the Manual to be consistent with its intent, as described above, and (2) instruct the claims processing contractors to process immunosuppressive drug claims without the KX modifier and educate pharmacies on the correct use of the modifier. , CMS concurred with our recommendations and provided separate technical comments on our report.  We incorporated the technical comments where appropriate. , Filed under: <a href=""/reports-and-publications/oas/cms.asp"">Centers for Medicare and Medicaid Services</a>"
203,A-07-17-00528,"Companion Data Services, LLC, Did Not Claim Some Allowable Pension Costs Through Its Incurred Cost Proposals Audit (A-07-17-00528) 06-05-2018 ","Companion Data Services, LLC, did not claim $17,943 of allowable Medicare pension costs on its incurred cost proposals for calendar years 2008 through 2011. , Filed under: <a href=""/reports-and-publications/oas/cms.asp"">Center for Medicare and Medicaid Services</a>"
204,A-07-20-00598,"Palmetto Government Benefits Administrator, LLC, Overstated Its Excess Plan Medicare Segment Pension Assets as of January 1, 2017","Medicare contractors are required to separately account for the Medicare segment pension plan assets based on the requirements of Cost Accounting Standards (CAS) 412 and 413., The Department of Health and Human Services, Office of Inspector General (OIG), Office of Audit Services, Region VII pension audit team reviews the Medicare segment pension assets to ensure compliance with Federal regulations.  Previous OIG audits found that Medicare contractors did not always correctly identify and update the segmented pension assets. , Our objective was to determine whether Palmetto Government Benefits Administrator, LLC (Palmetto), complied with Federal requirements and its established cost accounting practice when updating its Excess Plan Medicare segment pension assets from January 1, 2015, to January 1, 2017.  , We reviewed Palmetto's identification of its Excess Plan Medicare segment and its update of the Excess Plan Medicare segment pension assets from January 1, 2015, to January 1, 2017., Palmetto did not correctly update its Excess Plan Medicare segment pension assets from January 1, 2015, to January 1, 2017, in accordance with Federal requirements.  Palmetto identified $746,467 as its Excess Plan Medicare segment pension assets as of January 1, 2017; however, we determined that those assets were $737,271 as of that date.  Therefore, Palmetto overstated its Excess Plan Medicare segment pension assets as of January 1, 2017, by $9,196.  Palmetto overstated those Excess Plan pension assets because its policies and procedures did not always ensure that it calculated those assets in accordance with Federal requirements when updating its Excess Plan Medicare segment's pension assets from January 1, 2015, to January 1, 2017. , We recommend that Palmetto decrease its Excess Plan Medicare segment pension assets by $9,196 and recognize $737,271 as the Excess Plan Palmetto Medicare segment pension assets as of January 1, 2017, and improve policies and procedures to ensure that going forward, it calculates Medicare segment pension assets in accordance with Federal requirements. , Palmetto stated that it did not object to our findings and recommendations and added that it did not believe our findings would have a material impact on its submitted Incurred Cost Proposals., Filed under: <a href=""/reports-and-publications/oas/cms.asp"">Centers for Medicare and Medicaid Services</a>"
205,A-07-21-00607,"Blue Cross Blue Shield of South Carolina Overstated Its Excess Plan Partial Medicare Segment Pension Assets as of January 1, 2017","Medicare contractors are required to separately account for Medicare segment pension plan assets based on the requirements of Cost Accounting Standards (CAS) 412 and 413. , The Department of Health and Human Services, Office of Inspector General (OIG), Office of Audit Services, Region VII pension audit team reviews Medicare segment pension assets to ensure compliance with Federal regulations.  Previous OIG audits found that Medicare contractors did not always correctly identify and update the segmented pension assets. , Our objective was to determine whether Blue Cross Blue Shield of South Carolina (BCBS South Carolina) complied with Federal requirements and its established cost accounting practice when updating its Excess Plan Partial Medicare segment pension assets from January 1, 2015, to January 1, 2017.  , We reviewed BCBS South Carolina's identification of its Excess Plan Partial Medicare segment and its update of the Excess Plan Partial Medicare segment pension assets from January 1, 2015, to January 1, 2017. , BCBS South Carolina did not correctly update its Excess Plan Partial Medicare segment pension assets from January 1, 2015, to January 1, 2017, in accordance with Federal requirements.  BCBS South Carolina identified $2.79 million as its Excess Plan Partial Medicare segment pension assets as of January 1, 2017; however, we determined that those assets were a negative $10,750 as of that date.  Therefore, BCBS South Carolina overstated its Excess Plan Partial Medicare segment pension assets as of January 1, 2017, by $2.8 million.  BCBS South Carolina overstated those Excess Plan pension assets because it did not have policies and procedures to ensure that it calculated those assets in accordance with Federal requirements when updating its Excess Plan Partial Medicare segment pension assets from January 1, 2015, to January 1, 2017., We recommend that BCBS South Carolina decrease its Excess Plan Partial Medicare segment pension assets by $2.8 million and recognize a negative $10,750 as the Excess Plan Partial Medicare segment pension assets as of January 1, 2017, and develop and implement policies and procedures to ensure that going forward, it calculates Medicare segment pension assets in accordance with Federal requirements. , In written comments on our draft report, BCBS South Carolina stated that it did not object to our findings and recommendations and added that it did not believe that our findings had a material impact on its submitted Incurred Cost Proposals. , Filed under: <a href=""/reports-and-publications/oas/cms.asp"">Centers for Medicare and Medicaid Services</a>"
206,A-07-20-00594,"Almost All of the Medicare Pension Costs That Companion Data Services, LLC, Claimed Through Its Incurred Cost Proposals Were Allowable A-07-20-00594 08-06-2021","The Centers for Medicare &amp; Medicaid Services (CMS) reimburses Medicare contractors for a portion of their pension costs, which are funded by the annual contributions that these contractors make to their pension plans., The Department of Health and Human Services, Office of Inspector General (OIG), Office of Audit Services, Region VII pension audit team reviews the cost elements related to qualified defined-benefit, postretirement benefit, and any other pension-related cost elements claimed by Medicare contractors through Incurred Cost Proposals (ICPs). , Previous OIG audits found that Medicare contractors did not always comply with Federal requirements when claiming pension costs for Medicare reimbursement., Our objective was to determine whether the calendar years (CYs) 2012 through 2016 qualified defined-benefit plan pension costs (herein referred to as ""pension costs"") that Companion Data Services, LLC (CDS), claimed for Medicare reimbursement, and reported on its ICPs, were allowable and correctly claimed. , We reviewed $4.028 million of Medicare pension costs that CDS claimed for Medicare reimbursement on its ICPs for CYs 2012 through 2016., Almost all of the CYs 2012 through 2016 pension costs that CDS claimed for Medicare reimbursement, and reported on its ICPs, were allowable and correctly claimed.  CDS claimed pension costs of $4.028 million for Medicare reimbursement, through its ICPs, for CYs 2012 through 2016; however, we determined that the allowable Cost Accounting Standards-based pension costs during this period were $4.019 million.  The difference, $8,989, represented unallowable Medicare pension costs that CDS claimed on its ICPs for CYs 2012 through 2016.  CDS claimed these unallowable Medicare pension costs primarily because it used incorrect indirect cost rates when claiming pension costs for Medicare reimbursement.  Specifically, CDS used an incorrect allocable pension cost when calculating the indirect cost rates., We recommend that CDS work with CMS to ensure that its final settlement of contract costs reflects a decrease in Medicare pension costs of $8,989 for CYs 2012 through 2016., CDS did not directly refer to the monetary amount in our recommendation but did say that it would work with CMS to ensure that its final settlement of contract costs is appropriate., Nothing in CDS's comments caused us to change our finding or recommendation.  Thus, we continue to recommend that CDS work with CMS to ensure that its final settlement of contract costs reflects a decrease in Medicare pension costs of $8,989 for CYs 2012 through 2016. , Filed under: <a href=""/reports-and-publications/oas/cms.asp"">Centers for Medicare and Medicaid Services</a>"
207,A-07-20-00592,"Palmetto Government Benefits Administrator, LLC, Did Not Claim Some Allowable Medicare Pension Costs Through Its Incurred Cost Proposals A-07-20-00592 08-10-2021","The Centers for Medicare &amp; Medicaid Services (CMS) reimburses Medicare contractors for a portion of their pension costs, which are funded by the annual contributions that these contractors make to their pension plans. , The Department of Health and Human Services, Office of Inspector General (OIG), Office of Audit Services, Region VII pension audit team reviews the cost elements related to qualified defined-benefit, postretirement benefit, and any other pension-related cost elements claimed by Medicare contractors through Incurred Cost Proposals (ICPs). , Previous OIG audits found that Medicare contractors did not always comply with Federal requirements when claiming pension costs for Medicare reimbursement., Our objective was to determine whether the calendar years (CYs) 2012 through 2016 qualified defined-benefit plan pension costs (herein referred to as ""pension costs"") that Palmetto Government Benefits Administrator, LLC (Palmetto), claimed for Medicare reimbursement, and reported on its ICPs, were allowable and correctly claimed. , We reviewed $26.7 million of pension costs that Palmetto claimed for Medicare reimbursement on its ICPs for CYs 2012 through 2016., Palmetto claimed pension costs of $26.7 million for Medicare reimbursement, through its ICPs, for CYs 2012 through 2016; however, we determined that the allowable Cost Accounting Standards-based pension costs during this period were $27.7 million.  The difference, $998,912, represented allowable Medicare pension costs that Palmetto did not claim on its ICPs for CYs 2012 through 2016.  Palmetto did not claim these allowable Medicare pension costs primarily because it used incorrect indirect cost rates when claiming pension costs for Medicare reimbursement.  Specifically, Palmetto used an incorrect allocable pension cost when calculating the indirect cost rates. , We recommend that Palmetto work with CMS to ensure that its final settlement of contract costs reflects an increase in Medicare pension costs of $998,912 for CYs 2012 through 2016., In its formal written comments, Palmetto did not directly refer to the monetary amount in our recommendation but did say that it would work with CMS to ensure that its final settlement of contract costs is appropriate.  However, information Palmetto provided to us after issuance of our draft report caused us to decrease our recommended pension cost adjustment from $1,000,941 to $998,912 (a $2,029 change). , Filed under: <a href=""/reports-and-publications/oas/cms.asp"">Centers for Medicare and Medicaid Services</a>"
208,A-07-21-00610,"Companion Data Services, LLC, Claimed Some Unallowable Medicare Excess Plan Costs Through Its Incurred Cost Proposals A-07-21-00610 08-10-2021","The Centers for Medicare &amp; Medicaid Services (CMS) reimburses Medicare contractors for a portion of their nonqualified plan costs., The Department of Health and Human Services, Office of Inspector General (OIG), Office of Audit Services, Region VII pension audit team reviews the cost elements related to qualified defined-benefit, postretirement benefit, and any other pension-related cost elements claimed by Medicare contractors through Incurred Cost Proposals (ICPs). , Previous OIG audits found that Medicare contractors did not always comply with Federal requirements when claiming nonqualified plan costs for Medicare reimbursement., Our objective was to determine whether the calendar years (CYs) 2015 and 2016 Blue Cross Blue Shield of South Carolina Excess Plan (Excess Plan) costs that Companion Data Services, LLC (CDS), claimed for Medicare reimbursement, and reported on its ICPs, were allowable and correctly claimed. , We reviewed $80,251 of Medicare Excess Plan costs that CDS claimed for Medicare reimbursement on its ICPs for CYs 2015 and 2016., CDS claimed Excess Plan costs of $80,251 for Medicare reimbursement, through its ICPs, for CYs 2015 and 2016; however, we determined that the allowable Excess Plan costs during this period were $71,670.  The difference, $8,581, represented unallowable Medicare Excess Plan costs that CDS claimed on its ICPs for CYs 2015 and 2016.  CDS claimed these unallowable Medicare Excess Plan costs primarily because it used incorrect indirect cost rates when claiming those costs for Medicare reimbursement.  Specifically, CDS used an incorrect allocable Excess Plan cost when calculating the indirect cost rates., We recommend that CDS work with CMS to ensure that its final settlement of contract costs reflects a decrease in Medicare Excess Plan costs of $8,581 for CYs 2015 and 2016., CDS did not directly refer to the monetary amount in our recommendation but did say that it would work with CMS to ensure that its final settlement of contract costs is appropriate., Nothing in CDS's comments caused us to change our finding or recommendation.  Thus, we continue to recommend that CDS work with CMS to ensure that its final settlement of contract costs reflects a decrease in Medicare Excess Plan costs of $8,581 for CYs 2015 and 2016., Filed under: <a href=""/reports-and-publications/oas/cms.asp"">Centers for Medicare and Medicaid Services</a>"
209,A-07-21-00616,"Palmetto Government Benefits Administrator, LLC, Claimed Some Unallowable Excess Plan Costs Through Its Incurred Cost Proposals A-07-21-00616 08-10-2021","The Centers for Medicare &amp; Medicaid Services (CMS) reimburses Medicare contractors for a portion of their nonqualified plan costs. , The Department of Health and Human Services, Office of Inspector General (OIG), Office of Audit Services, Region VII pension audit team reviews the cost elements related to qualified defined-benefit, postretirement benefit, and any other pension-related cost elements claimed by Medicare contractors through Incurred Cost Proposals (ICPs). , Previous OIG audits found that Medicare contractors did not always comply with Federal requirements when claiming nonqualified plan costs for Medicare reimbursement. , Our objective was to determine whether the calendar years (CYs) 2015 and 2016 Excess Plan costs that Palmetto Government Benefits Administrator, LLC (Palmetto), claimed for Medicare reimbursement, and reported on its ICPs, were allowable and correctly claimed. , We reviewed $1.4 million of Excess Plan costs that Palmetto claimed for Medicare reimbursement on its ICPs for CYs 2015 and 2016., Palmetto claimed Excess Plan costs of $1.4 million for Medicare reimbursement, through its ICPs, for CYs 2015 and 2016; however, we determined that the allowable Excess Plan costs during this period were $980,530.  The difference, $406,791, represented unallowable Medicare Excess Plan costs that Palmetto claimed on its ICPs for CYs 2015 and 2016.  Palmetto claimed these unallowable Medicare Excess Plan costs primarily because it used incorrect indirect cost rates when claiming those costs for Medicare reimbursement.  , We recommend that Palmetto work with CMS to ensure that its final settlement of contract costs reflects a decrease in Medicare Excess Plan costs of $406,791 for CYs 2015 and 2016., Palmetto did not directly refer to the monetary amount in our recommendation but did say that it would work with CMS to ensure that its final settlement of contract costs is appropriate., Nothing in Palmetto's comments caused us to change our finding or recommendation.  Thus, we continue to recommend that Palmetto work with CMS to ensure that its final settlement of contract costs reflects a decrease in Medicare Excess Plan costs of $406,791 for CYs 2015 and 2016. , Filed under: <a href=""/reports-and-publications/oas/cms.asp"">Centers for Medicare and Medicaid Services</a>"
210,A-07-21-00609,"Companion Data Services, LLC, Claimed Some Unallowable Medicare Postretirement Benefit Costs Through Its Incurred Cost Proposals A-07-21-00609 08-10-2021","The Centers for Medicare &amp; Medicaid Services (CMS) reimburses Medicare contractors for a portion of their postretirement benefit (PRB) costs, which are funded by the contributions that these contractors make to their dedicated trust fund. , The Department of Health and Human Services, Office of Inspector General (OIG), Office of Audit Services, Region VII pension audit team reviews the cost elements related to qualified defined-benefit, PRB, and any other pension-related cost elements claimed by Medicare contractors through Incurred Cost Proposals (ICPs). , Previous OIG audits found that Medicare contractors did not always comply with Federal requirements when claiming PRB costs for Medicare reimbursement., Our objective was to determine whether the calendar years (CYs) 2012 through 2016 PRB costs that Companion Data Services, LLC (CDS), claimed for Medicare reimbursement, and reported on its ICPs, were allowable and correctly claimed. , We reviewed $203,362 of Medicare PRB costs that CDS claimed for Medicare reimbursement on its ICPs for CYs 2012 through 2016., CDS claimed PRB costs of $203,362 for Medicare reimbursement, through its ICPs, for CYs 2012 through 2016; however, we determined that the allowable PRB costs during this period were $129,768.  The difference, $73,594, represented unallowable Medicare PRB costs that CDS claimed on its ICPs for CYs 2012 through 2016.  CDS claimed these unallowable Medicare PRB costs primarily because it used incorrect indirect cost rates when claiming PRB costs for Medicare reimbursement.  Specifically, CDS used an incorrect allocable PRB cost when calculating the indirect cost rates. , We recommend that CDS work with CMS to ensure that its final settlement of contract costs reflects a decrease in Medicare PRB costs of $73,594 for CYs 2012 through 2016., CDS did not directly refer to the monetary amount in our recommendation but did say that it would work with CMS to ensure that its final settlement of contract costs is appropriate., Nothing in CDS's comments caused us to change our finding or recommendation.  Thus, we continue to recommend that CDS work with CMS to ensure that its final settlement of contract costs reflects a decrease in Medicare PRB costs of $73,594 for CYs 2012 through 2016., Filed under: <a href=""/reports-and-publications/oas/cms.asp"">Centers for Medicare and Medicaid Services</a>"
211,A-07-21-00611,"Companion Data Services, LLC, Supplemental Executive Retirement Plan III Costs Claimed Through Incurred Cost Proposals Were Allowable and Reasonable A-07-21-00611 08-10-2021","The Centers for Medicare &amp; Medicaid Services (CMS) reimburses Medicare contractors for a portion of their Supplemental Executive Retirement Plan (SERP) costs., The Department of Health and Human Services, Office of Inspector General (OIG), Office of Audit Services, Region VII pension audit team reviews the cost elements related to qualified defined-benefit, postretirement benefit, and any other pension-related cost elements claimed by Medicare contractors through Incurred Cost Proposals (ICPs). , Previous OIG audits found that Medicare contractors did not always comply with Federal requirements when claiming SERP costs for Medicare reimbursement., Our objective was to determine whether the calendar years (CYs) 2015 and 2016 SERP III costs that Companion Data Services, LLC (CDS), claimed for Medicare reimbursement, and reported on its ICPs, were allowable and correctly claimed. , We reviewed $958 of Medicare SERP III costs that CDS claimed for Medicare reimbursement on its ICPs for CYs 2015 and 2016., The SERP III costs that CDS claimed for Medicare reimbursement on its ICPs for CYs 2015 and 2016 were allowable and reasonable, and thus were correctly claimed.  Therefore, this report makes no recommendations., CDS said that it would work with CMS to ensure that its final settlement of contract costs is appropriate., Filed under: <a href=""/reports-and-publications/oas/cms.asp"">Centers for Medicare and Medicaid Services</a>"
212,A-07-21-00614,"Palmetto Government Benefits Administrator, LLC, Claimed Some Unallowable Medicare Postretirement Benefit Costs Through Its Incurred Cost Proposals A-07-21-00614 08-10-2021","The Centers for Medicare &amp; Medicaid Services (CMS) reimburses Medicare contractors for a portion of their postretirement benefit (PRB) costs, which are funded by the contributions that these contractors make to their dedicated trust funds. , The Department of Health and Human Services, Office of Inspector General (OIG), Office of Audit Services, Region VII pension audit team reviews the cost elements related to qualified defined-benefit, PRB, and any other pension-related cost elements claimed by Medicare contractors through Incurred Cost Proposals (ICPs). , Previous OIG audits found that Medicare contractors did not always comply with Federal requirements when claiming PRB costs for Medicare reimbursement., Our objective was to determine whether the calendar years (CYs) 2012 through 2016 PRB costs that Palmetto Government Benefits Administrator, LLC (Palmetto), claimed for Medicare reimbursement, and reported on its ICPs, were allowable and correctly claimed. , We reviewed $5.3 million of PRB costs that Palmetto claimed for Medicare reimbursement on its ICPs for CYs 2012 through 2016., Palmetto claimed PRB costs of $5.3 million for Medicare reimbursement, through its ICPs, for CYs 2012 through 2016; however, we determined that the allowable PRB costs during this period were $2.4 million.  The difference, $2.85 million, represented unallowable Medicare PRB costs that Palmetto claimed on its ICPs for CYs 2012 through 2016.  Palmetto claimed these unallowable Medicare PRB costs primarily because it used incorrect indirect cost rates when claiming PRB costs for Medicare reimbursement.  Specifically, Palmetto used an incorrect allocable PRB cost when calculating the indirect cost rates., We recommend that Palmetto work with CMS to ensure that its final settlement of contract costs reflects a decrease in Medicare PRB costs of $2.85 million for CYs 2012 through 2016., In its formal written comments, Palmetto did not directly refer to the monetary amount in our recommendation but did say that it would work with CMS to ensure that its final settlement of contract costs is appropriate.  However, information Palmetto provided to us after issuance of our draft report caused us to decrease our recommended PRB cost adjustment from $2,850,564 to $2,848,586 (a $1,978 change)., Filed under: <a href=""/reports-and-publications/oas/cms.asp"">Centers for Medicare and Medicaid Services</a>"
213,A-07-21-00615,"Palmetto Government Benefits Administrator, LLC, Claimed Some Unallowable Medicare Supplemental Executive Retirement Plan III Costs Through Its Incurred Cost Proposals A-07-21-00615 08-10-2021","The Centers for Medicare &amp; Medicaid Services (CMS) reimburses Medicare contractors for a portion of their nonqualified plan costs., The Department of Health and Human Services, Office of Inspector General (OIG), Office of Audit Services, Region VII pension audit team reviews the cost elements related to qualified defined-benefit, postretirement benefit, and any other pension-related cost elements claimed by Medicare contractors through Incurred Cost Proposals (ICPs). , Previous OIG audits found that Medicare contractors did not always correctly identify and claim nonqualified plan costs, including Supplemental Executive Retirement Plan (SERP) costs, for Medicare reimbursement. , Our objective was to determine whether the calendar years (CYs) 2015 and 2016 SERP III costs that Palmetto Government Benefits Administrator, LLC (Palmetto), claimed for Medicare reimbursement, and reported on its ICPs, were allowable and correctly claimed. , We reviewed $66,738 of SERP III costs that Palmetto claimed for Medicare reimbursement on its ICPs for CYs 2015 and 2016., Palmetto claimed SERP III costs of $66,738 for Medicare reimbursement, through its ICPs, for CYs 2015 and 2016; however, we determined that the allowable SERP III costs during this period were $41,576.  The difference, $25,162, represented unallowable Medicare SERP III costs that Palmetto claimed on its ICPs for CYs 2015 through 2016.  Palmetto claimed these unallowable Medicare SERP III costs primarily because it used incorrect indirect cost rates when claiming those costs for Medicare reimbursement.  , We recommend that Palmetto work with CMS to ensure that its final settlement of contract costs reflects a decrease in Medicare SERP III costs of $25,162 for CYs 2015 and 2016., Palmetto did not directly refer to the monetary amount in our recommendation but did say that it would work with CMS to ensure that its final settlement of contract costs is appropriate., Nothing in Palmetto's comments caused us to change our finding or recommendation.  Thus, we continue to recommend that Palmetto work with CMS to ensure that its final settlement of contract costs reflects a decrease in Medicare SERP III costs of $25,162 for CYs 2015 and 2016. , Filed under: <a href=""/reports-and-publications/oas/cms.asp"">Centers for Medicare and Medicaid Services</a>"
